period,date,average_tat,moving_range,contract_phase
1,2024-09-30,1,1,pre_contract
2,2024-10-07,2,2,pre_contract
3,2024-10-14,3,3,pre_contract
4,2024-10-21,4,4,pre_contract
5,2024-10-28,5,5,pre_contract
6,2024-11-04,6,6,post_contract
7,2024-11-11,7,7,post_contract
8,2024-11-18,8,8,post_contract
9,2024-11-25,9,9,post_contract
10,2024-12-02,10,10,post_contract
11,2024-12-09,11,11,post_contract
12,2024-12-16,12,12,post_contract
13,2024-12-23,13,13,post_contract
14,2024-12-30,14,14,post_contract
15,2025-01-06,15,15,post_contract
16,2025-01-13,16,16,post_contract
17,2025-01-20,17,17,post_contract
18,2025-01-27,18,18,post_contract
19,2025-02-03,19,19,post_contract
20,2025-02-10,20,20,post_contract
